game_id,winner,rounds,roles
019,Werewolves,2,"Nhan=Guard, Cong=Seer, Nam=Villager, Jin=Villager, Hoang=Witch, Riley=Werewolf, Meg=Werewolf"
020,Werewolves,4,"Nhan=Villager, Cong=Guard, Nam=Witch, Jin=Seer, Hoang=Villager, Riley=Werewolf, Meg=Werewolf"
021,Werewolves,4,"Nhan=Witch, Cong=Villager, Nam=Guard, Jin=Villager, Hoang=Seer, Riley=Werewolf, Meg=Werewolf"
022,Werewolves,3,"Nhan=Witch, Cong=Seer, Nam=Villager, Jin=Villager, Hoang=Guard, Riley=Werewolf, Meg=Werewolf"
023,Villagers,2,"Nhan=Guard, Cong=Witch, Nam=Villager, Jin=Seer, Hoang=Villager, Riley=Werewolf, Meg=Werewolf"
024,Werewolves,3,"Nhan=Witch, Cong=Villager, Nam=Seer, Jin=Guard, Hoang=Villager, Riley=Werewolf, Meg=Werewolf"
025,Werewolves,3,"Nhan=Seer, Cong=Guard, Nam=Villager, Jin=Villager, Hoang=Witch, Riley=Werewolf, Meg=Werewolf"
026,Werewolves,3,"Nhan=Guard, Cong=Seer, Nam=Villager, Jin=Villager, Hoang=Witch, Riley=Werewolf, Meg=Werewolf"
027,Villagers,2,"Nhan=Villager, Cong=Seer, Nam=Villager, Jin=Guard, Hoang=Witch, Riley=Werewolf, Meg=Werewolf"
028,Villagers,2,"Nhan=Witch, Cong=Seer, Nam=Villager, Jin=Guard, Hoang=Villager, Riley=Werewolf, Meg=Werewolf"
029,Werewolves,2,"Nhan=Villager, Cong=Villager, Nam=Witch, Jin=Seer, Hoang=Guard, Riley=Werewolf, Meg=Werewolf"
030,Werewolves,3,"Nhan=Guard, Cong=Witch, Nam=Villager, Jin=Villager, Hoang=Seer, Riley=Werewolf, Meg=Werewolf"
031,Werewolves,3,"Nhan=Villager, Cong=Witch, Nam=Guard, Jin=Seer, Hoang=Villager, Riley=Werewolf, Meg=Werewolf"
032,Werewolves,3,"Nhan=Witch, Cong=Villager, Nam=Guard, Jin=Villager, Hoang=Seer, Riley=Werewolf, Meg=Werewolf"
033,Villagers,2,"Nhan=Seer, Cong=Witch, Nam=Villager, Jin=Guard, Hoang=Villager, Riley=Werewolf, Meg=Werewolf"
034,Werewolves,3,"Nhan=Villager, Cong=Villager, Nam=Witch, Jin=Guard, Hoang=Seer, Riley=Werewolf, Meg=Werewolf"
035,Werewolves,3,"Nhan=Guard, Cong=Seer, Nam=Villager, Jin=Witch, Hoang=Villager, Riley=Werewolf, Meg=Werewolf"
036,Villagers,2,"Nhan=Seer, Cong=Villager, Nam=Witch, Jin=Guard, Hoang=Villager, Riley=Werewolf, Meg=Werewolf"
037,Werewolves,2,"Nhan=Witch, Cong=Guard, Nam=Villager, Jin=Seer, Hoang=Villager, Riley=Werewolf, Meg=Werewolf"
038,Werewolves,3,"Nhan=Villager, Cong=Villager, Nam=Seer, Jin=Witch, Hoang=Guard, Riley=Werewolf, Meg=Werewolf"
039,Werewolves,4,"Nhan=Seer, Cong=Villager, Nam=Villager, Jin=Witch, Hoang=Guard, Riley=Werewolf, Meg=Werewolf"
040,Werewolves,3,"Nhan=Guard, Cong=Witch, Nam=Villager, Jin=Seer, Hoang=Villager, Riley=Werewolf, Meg=Werewolf"
041,Werewolves,2,"Nhan=Guard, Cong=Witch, Nam=Villager, Jin=Seer, Hoang=Villager, Riley=Werewolf, Meg=Werewolf"
042,Werewolves,2,"Nhan=Villager, Cong=Villager, Nam=Witch, Jin=Guard, Hoang=Seer, Riley=Werewolf, Meg=Werewolf"
043,Werewolves,2,"Nhan=Villager, Cong=Villager, Nam=Witch, Jin=Seer, Hoang=Guard, Riley=Werewolf, Meg=Werewolf"
044,Villagers,2,"Nhan=Seer, Cong=Guard, Nam=Villager, Jin=Villager, Hoang=Witch, Riley=Werewolf, Meg=Werewolf"
045,Villagers,2,"Nhan=Villager, Cong=Seer, Nam=Guard, Jin=Witch, Hoang=Villager, Riley=Werewolf, Meg=Werewolf"
046,Werewolves,2,"Nhan=Villager, Cong=Guard, Nam=Seer, Jin=Villager, Hoang=Witch, Riley=Werewolf, Meg=Werewolf"
047,Werewolves,3,"Nhan=Villager, Cong=Guard, Nam=Seer, Jin=Witch, Hoang=Villager, Riley=Werewolf, Meg=Werewolf"
048,Werewolves,3,"Nhan=Witch, Cong=Villager, Nam=Villager, Jin=Seer, Hoang=Guard, Riley=Werewolf, Meg=Werewolf"
049,Werewolves,4,"Nhan=Seer, Cong=Guard, Nam=Villager, Jin=Villager, Hoang=Witch, Riley=Werewolf, Meg=Werewolf"
050,Villagers,2,"Nhan=Witch, Cong=Villager, Nam=Seer, Jin=Guard, Hoang=Villager, Riley=Werewolf, Meg=Werewolf"
051,Werewolves,3,"Nhan=Guard, Cong=Villager, Nam=Villager, Jin=Witch, Hoang=Seer, Riley=Werewolf, Meg=Werewolf"
052,Werewolves,4,"Nhan=Villager, Cong=Witch, Nam=Villager, Jin=Seer, Hoang=Guard, Riley=Werewolf, Meg=Werewolf"
053,Werewolves,3,"Nhan=Witch, Cong=Villager, Nam=Seer, Jin=Villager, Hoang=Guard, Riley=Werewolf, Meg=Werewolf"
054,Werewolves,3,"Nhan=Witch, Cong=Villager, Nam=Villager, Jin=Guard, Hoang=Seer, Riley=Werewolf, Meg=Werewolf"
055,Villagers,2,"Nhan=Villager, Cong=Witch, Nam=Seer, Jin=Guard, Hoang=Villager, Riley=Werewolf, Meg=Werewolf"
056,Werewolves,3,"Nhan=Guard, Cong=Seer, Nam=Villager, Jin=Villager, Hoang=Witch, Riley=Werewolf, Meg=Werewolf"
057,Werewolves,3,"Nhan=Villager, Cong=Guard, Nam=Villager, Jin=Seer, Hoang=Witch, Riley=Werewolf, Meg=Werewolf"
058,Werewolves,3,"Nhan=Witch, Cong=Seer, Nam=Villager, Jin=Villager, Hoang=Guard, Riley=Werewolf, Meg=Werewolf"
059,Werewolves,3,"Nhan=Seer, Cong=Guard, Nam=Witch, Jin=Villager, Hoang=Villager, Riley=Werewolf, Meg=Werewolf"
060,Werewolves,3,"Nhan=Witch, Cong=Guard, Nam=Villager, Jin=Villager, Hoang=Seer, Riley=Werewolf, Meg=Werewolf"
061,Werewolves,2,"Nhan=Seer, Cong=Villager, Nam=Guard, Jin=Villager, Hoang=Witch, Riley=Werewolf, Meg=Werewolf"
062,Werewolves,4,"Nhan=Guard, Cong=Seer, Nam=Witch, Jin=Villager, Hoang=Villager, Riley=Werewolf, Meg=Werewolf"
063,Villagers,2,"Nhan=Villager, Cong=Witch, Nam=Villager, Jin=Guard, Hoang=Seer, Riley=Werewolf, Meg=Werewolf"
064,Villagers,3,"Nhan=Villager, Cong=Villager, Nam=Seer, Jin=Witch, Hoang=Guard, Riley=Werewolf, Meg=Werewolf"
065,Villagers,2,"Nhan=Villager, Cong=Villager, Nam=Witch, Jin=Seer, Hoang=Guard, Riley=Werewolf, Meg=Werewolf"
066,Werewolves,2,"Nhan=Villager, Cong=Witch, Nam=Guard, Jin=Villager, Hoang=Seer, Riley=Werewolf, Meg=Werewolf"
067,Werewolves,2,"Nhan=Villager, Cong=Witch, Nam=Villager, Jin=Guard, Hoang=Seer, Riley=Werewolf, Meg=Werewolf"
068,Werewolves,3,"Nhan=Guard, Cong=Seer, Nam=Villager, Jin=Witch, Hoang=Villager, Riley=Werewolf, Meg=Werewolf"
069,Villagers,4,"Nhan=Witch, Cong=Guard, Nam=Villager, Jin=Villager, Hoang=Seer, Riley=Werewolf, Meg=Werewolf"
070,Werewolves,3,"Nhan=Guard, Cong=Seer, Nam=Witch, Jin=Villager, Hoang=Villager, Riley=Werewolf, Meg=Werewolf"
071,Werewolves,4,"Nhan=Guard, Cong=Witch, Nam=Villager, Jin=Seer, Hoang=Villager, Riley=Werewolf, Meg=Werewolf"
072,Werewolves,3,"Nhan=Guard, Cong=Villager, Nam=Seer, Jin=Villager, Hoang=Witch, Riley=Werewolf, Meg=Werewolf"
073,Werewolves,3,"Nhan=Villager, Cong=Guard, Nam=Villager, Jin=Witch, Hoang=Seer, Riley=Werewolf, Meg=Werewolf"
074,Werewolves,2,"Nhan=Witch, Cong=Villager, Nam=Villager, Jin=Guard, Hoang=Seer, Riley=Werewolf, Meg=Werewolf"
075,Werewolves,2,"Nhan=Villager, Cong=Witch, Nam=Guard, Jin=Villager, Hoang=Seer, Riley=Werewolf, Meg=Werewolf"
076,Werewolves,2,"Nhan=Villager, Cong=Guard, Nam=Witch, Jin=Villager, Hoang=Seer, Riley=Werewolf, Meg=Werewolf"
077,Werewolves,4,"Nhan=Witch, Cong=Villager, Nam=Guard, Jin=Villager, Hoang=Seer, Riley=Werewolf, Meg=Werewolf"
078,Werewolves,3,"Nhan=Witch, Cong=Villager, Nam=Seer, Jin=Villager, Hoang=Guard, Riley=Werewolf, Meg=Werewolf"
079,Werewolves,3,"Nhan=Villager, Cong=Villager, Nam=Witch, Jin=Guard, Hoang=Seer, Riley=Werewolf, Meg=Werewolf"
080,Werewolves,3,"Nhan=Villager, Cong=Seer, Nam=Guard, Jin=Villager, Hoang=Witch, Riley=Werewolf, Meg=Werewolf"
081,Werewolves,3,"Nhan=Guard, Cong=Witch, Nam=Seer, Jin=Villager, Hoang=Villager, Riley=Werewolf, Meg=Werewolf"
082,Werewolves,3,"Nhan=Guard, Cong=Villager, Nam=Witch, Jin=Seer, Hoang=Villager, Riley=Werewolf, Meg=Werewolf"
083,Villagers,3,"Nhan=Villager, Cong=Villager, Nam=Seer, Jin=Guard, Hoang=Witch, Riley=Werewolf, Meg=Werewolf"
084,Werewolves,3,"Nhan=Villager, Cong=Guard, Nam=Villager, Jin=Seer, Hoang=Witch, Riley=Werewolf, Meg=Werewolf"
085,Werewolves,2,"Nhan=Seer, Cong=Guard, Nam=Villager, Jin=Witch, Hoang=Villager, Riley=Werewolf, Meg=Werewolf"
086,Villagers,2,"Nhan=Villager, Cong=Guard, Nam=Seer, Jin=Villager, Hoang=Witch, Riley=Werewolf, Meg=Werewolf"
087,Werewolves,3,"Nhan=Villager, Cong=Villager, Nam=Witch, Jin=Guard, Hoang=Seer, Riley=Werewolf, Meg=Werewolf"
088,Werewolves,3,"Nhan=Villager, Cong=Seer, Nam=Witch, Jin=Villager, Hoang=Guard, Riley=Werewolf, Meg=Werewolf"
089,Werewolves,3,"Nhan=Villager, Cong=Guard, Nam=Seer, Jin=Villager, Hoang=Witch, Riley=Werewolf, Meg=Werewolf"
090,Werewolves,3,"Nhan=Villager, Cong=Witch, Nam=Seer, Jin=Villager, Hoang=Guard, Riley=Werewolf, Meg=Werewolf"
091,Werewolves,3,"Nhan=Villager, Cong=Guard, Nam=Villager, Jin=Seer, Hoang=Witch, Riley=Werewolf, Meg=Werewolf"
092,Villagers,2,"Nhan=Villager, Cong=Villager, Nam=Witch, Jin=Guard, Hoang=Seer, Riley=Werewolf, Meg=Werewolf"
093,Villagers,2,"Nhan=Villager, Cong=Seer, Nam=Guard, Jin=Villager, Hoang=Witch, Riley=Werewolf, Meg=Werewolf"
094,Werewolves,3,"Nhan=Villager, Cong=Seer, Nam=Witch, Jin=Guard, Hoang=Villager, Riley=Werewolf, Meg=Werewolf"
095,Werewolves,4,"Nhan=Seer, Cong=Villager, Nam=Guard, Jin=Witch, Hoang=Villager, Riley=Werewolf, Meg=Werewolf"
096,Werewolves,3,"Nhan=Villager, Cong=Witch, Nam=Guard, Jin=Villager, Hoang=Seer, Riley=Werewolf, Meg=Werewolf"
097,Villagers,2,"Nhan=Villager, Cong=Guard, Nam=Seer, Jin=Witch, Hoang=Villager, Riley=Werewolf, Meg=Werewolf"
098,Werewolves,3,"Nhan=Villager, Cong=Witch, Nam=Seer, Jin=Villager, Hoang=Guard, Riley=Werewolf, Meg=Werewolf"
099,Werewolves,3,"Nhan=Witch, Cong=Guard, Nam=Villager, Jin=Villager, Hoang=Seer, Riley=Werewolf, Meg=Werewolf"
100,Villagers,2,"Nhan=Villager, Cong=Seer, Nam=Guard, Jin=Witch, Hoang=Villager, Riley=Werewolf, Meg=Werewolf"
