game_id,winner,rounds,roles,player_ids
001,Werewolves,2,"Joseph=Guard, Christopher=Witch, Elizabeth=Villager, Aurora=Villager, Ethan=Seer, Ryan=Werewolf, Lucas=Werewolf","Joseph=1, Christopher=2, Elizabeth=3, Aurora=4, Ethan=5, Ryan=6, Lucas=7"
002,Werewolves,3,"Mason=Witch, Harper=Villager, Luke=Villager, Nathan=Seer, Zoe=Guard, Logan=Werewolf, Isaiah=Werewolf","Mason=1, Harper=2, Luke=3, Nathan=4, Zoe=5, Logan=6, Isaiah=7"
