game_id,role,player,metric,value,winner
006,Werewolf,Riley,WolfVotePrecision,1.0,Werewolves
006,Werewolf,Meg,WolfVotePrecision,1.0,Werewolves
007,Witch,Nhan,WIA,0.16666666666666666,Werewolves
007,Villager,Cong,WIA,0.09999999999999998,Werewolves
007,Villager,Nam,WIA,0.19999999999999998,Werewolves
007,Seer,Jin,WIA,0.09999999999999998,Werewolves
007,Guard,Hoang,WIA,0.09999999999999998,Werewolves
007,Witch,Nhan,Brier,0.5645833333333333,Werewolves
007,Villager,Cong,Brier,0.6875666666666667,Werewolves
007,Villager,Nam,Brier,0.3175,Werewolves
007,Seer,Jin,Brier,0.25,Werewolves
007,Guard,Hoang,Brier,0.6484166666666668,Werewolves
007,Witch,Nhan,VotePrecision,0.0,Werewolves
007,Villager,Cong,VotePrecision,0.0,Werewolves
007,Villager,Nam,VotePrecision,0.0,Werewolves
007,Seer,Jin,VotePrecision,0.0,Werewolves
007,Guard,Hoang,VotePrecision,0.0,Werewolves
007,AllVillagers,round_1,WolfVoteShare,0.0,Werewolves
007,AllVillagers,round_2,WolfVoteShare,0.0,Werewolves
007,Werewolf,Riley,WolfVotePrecision,1.0,Werewolves
007,Werewolf,Meg,WolfVotePrecision,1.0,Werewolves
008,Villager,Nhan,WIA,0.19999999999999998,Werewolves
008,Villager,Cong,WIA,0.3,Werewolves
008,Seer,Nam,WIA,0.09999999999999998,Werewolves
008,Guard,Jin,WIA,0.19999999999999998,Werewolves
008,Witch,Hoang,WIA,0.2333333333333333,Werewolves
008,Villager,Cong,Brier,0.3254166666666667,Werewolves
008,Witch,Hoang,Brier,0.32916666666666666,Werewolves
008,Villager,Nhan,Brier,0.30416666666666664,Werewolves
008,Seer,Nam,Brier,0.25,Werewolves
008,Guard,Jin,Brier,0.36916666666666664,Werewolves
008,Villager,Nhan,VotePrecision,0.0,Werewolves
008,Villager,Cong,VotePrecision,0.0,Werewolves
008,Seer,Nam,VotePrecision,0.0,Werewolves
008,Guard,Jin,VotePrecision,0.0,Werewolves
008,Witch,Hoang,VotePrecision,0.0,Werewolves
008,AllVillagers,round_1,WolfVoteShare,0.0,Werewolves
008,AllVillagers,round_2,WolfVoteShare,0.0,Werewolves
008,Werewolf,Riley,WolfVotePrecision,1.0,Werewolves
008,Werewolf,Meg,WolfVotePrecision,1.0,Werewolves
009,Villager,Nhan,WIA,0.19999999999999998,Werewolves
009,Seer,Cong,WIA,0.09999999999999998,Werewolves
009,Guard,Nam,WIA,0.19999999999999998,Werewolves
009,Witch,Jin,WIA,0.16666666666666666,Werewolves
009,Villager,Hoang,WIA,0.2333333333333333,Werewolves
009,Witch,Jin,Brier,0.4458333333333333,Werewolves
009,Villager,Hoang,Brier,0.4058333333333333,Werewolves
009,Villager,Nhan,Brier,0.3283333333333333,Werewolves
009,Seer,Cong,Brier,0.25,Werewolves
009,Guard,Nam,Brier,0.35208333333333336,Werewolves
009,Villager,Nhan,VotePrecision,0.0,Werewolves
009,Seer,Cong,VotePrecision,0.0,Werewolves
009,Guard,Nam,VotePrecision,0.0,Werewolves
009,Witch,Jin,VotePrecision,0.0,Werewolves
009,Villager,Hoang,VotePrecision,0.0,Werewolves
009,AllVillagers,round_1,WolfVoteShare,0.0,Werewolves
009,AllVillagers,round_2,WolfVoteShare,0.0,Werewolves
009,Werewolf,Riley,WolfVotePrecision,1.0,Werewolves
009,Werewolf,Meg,WolfVotePrecision,1.0,Werewolves
010,Seer,Nhan,WIA,0.3,Werewolves
010,Guard,Cong,WIA,0.09999999999999998,Werewolves
010,Witch,Nam,WIA,0.09999999999999998,Werewolves
010,Villager,Jin,WIA,0.16666666666666666,Werewolves
010,Villager,Hoang,WIA,0.09999999999999998,Werewolves
010,Guard,Cong,Brier,0.48708333333333337,Werewolves
010,Villager,Jin,Brier,0.36874999999999997,Werewolves
010,Seer,Nhan,Brier,0.2770833333333333,Werewolves
010,Witch,Nam,Brier,0.25,Werewolves
010,Villager,Hoang,Brier,0.39375,Werewolves
010,Seer,Nhan,VotePrecision,0.0,Werewolves
010,Guard,Cong,VotePrecision,0.0,Werewolves
010,Witch,Nam,VotePrecision,0.0,Werewolves
010,Villager,Jin,VotePrecision,0.0,Werewolves
010,Villager,Hoang,VotePrecision,0.0,Werewolves
010,AllVillagers,round_1,WolfVoteShare,0.0,Werewolves
010,AllVillagers,round_2,WolfVoteShare,0.0,Werewolves
010,Werewolf,Riley,WolfVotePrecision,1.0,Werewolves
010,Werewolf,Meg,WolfVotePrecision,1.0,Werewolves
011,Guard,Nhan,WIA,0.16666666666666666,Werewolves
011,Witch,Cong,WIA,0.09999999999999998,Werewolves
011,Villager,Nam,WIA,0.09999999999999998,Werewolves
011,Villager,Jin,WIA,0.09999999999999998,Werewolves
011,Seer,Hoang,WIA,0.19999999999999998,Werewolves
011,Guard,Nhan,Brier,0.34375,Werewolves
011,Villager,Jin,Brier,0.4458333333333333,Werewolves
011,Witch,Cong,Brier,0.39875,Werewolves
011,Villager,Nam,Brier,0.25,Werewolves
011,Seer,Hoang,Brier,0.31333333333333335,Werewolves
011,Guard,Nhan,VotePrecision,0.0,Werewolves
011,Witch,Cong,VotePrecision,0.0,Werewolves
011,Villager,Nam,VotePrecision,0.0,Werewolves
011,Villager,Jin,VotePrecision,0.0,Werewolves
011,Seer,Hoang,VotePrecision,0.0,Werewolves
011,AllVillagers,round_1,WolfVoteShare,0.0,Werewolves
011,AllVillagers,round_2,WolfVoteShare,0.0,Werewolves
011,Werewolf,Riley,WolfVotePrecision,1.0,Werewolves
011,Werewolf,Meg,WolfVotePrecision,1.0,Werewolves
012,Witch,Nhan,WIA,0.09999999999999998,Werewolves
012,Villager,Cong,WIA,0.09999999999999998,Werewolves
012,Villager,Nam,WIA,0.09999999999999998,Werewolves
012,Seer,Jin,WIA,0.09999999999999998,Werewolves
012,Guard,Hoang,WIA,0.09999999999999998,Werewolves
012,Witch,Nhan,Brier,0.3720833333333333,Werewolves
012,Guard,Hoang,Brier,0.39208333333333334,Werewolves
012,Villager,Cong,Brier,0.4920833333333334,Werewolves
012,Villager,Nam,Brier,0.46625,Werewolves
012,Seer,Jin,Brier,0.25,Werewolves
012,Witch,Nhan,VotePrecision,0.0,Werewolves
012,Villager,Cong,VotePrecision,0.0,Werewolves
012,Villager,Nam,VotePrecision,0.0,Werewolves
012,Seer,Jin,VotePrecision,0.0,Werewolves
012,Guard,Hoang,VotePrecision,0.0,Werewolves
012,AllVillagers,round_1,WolfVoteShare,0.0,Werewolves
012,AllVillagers,round_2,WolfVoteShare,0.0,Werewolves
012,Werewolf,Riley,WolfVotePrecision,1.0,Werewolves
012,Werewolf,Meg,WolfVotePrecision,1.0,Werewolves
013,Villager,Nhan,WIA,0.16666666666666666,Werewolves
013,Villager,Cong,WIA,0.09999999999999998,Werewolves
013,Seer,Nam,WIA,0.19999999999999998,Werewolves
013,Guard,Jin,WIA,0.16666666666666666,Werewolves
013,Witch,Hoang,WIA,0.09999999999999998,Werewolves
013,Villager,Nhan,Brier,0.3670833333333334,Werewolves
013,Guard,Jin,Brier,0.3854166666666667,Werewolves
013,Villager,Cong,Brier,0.36624999999999996,Werewolves
013,Seer,Nam,Brier,0.2916666666666667,Werewolves
013,Witch,Hoang,Brier,0.25,Werewolves
013,Villager,Nhan,VotePrecision,0.0,Werewolves
013,Villager,Cong,VotePrecision,0.0,Werewolves
013,Seer,Nam,VotePrecision,0.0,Werewolves
013,Guard,Jin,VotePrecision,0.0,Werewolves
013,Witch,Hoang,VotePrecision,0.0,Werewolves
013,AllVillagers,round_1,WolfVoteShare,0.0,Werewolves
013,AllVillagers,round_2,WolfVoteShare,0.0,Werewolves
013,Werewolf,Riley,WolfVotePrecision,1.0,Werewolves
013,Werewolf,Meg,WolfVotePrecision,1.0,Werewolves
014,Villager,Nhan,WIA,0.09999999999999998,Werewolves
014,Seer,Cong,WIA,0.2333333333333333,Werewolves
014,Guard,Nam,WIA,0.09999999999999998,Werewolves
014,Witch,Jin,WIA,0.19999999999999998,Werewolves
014,Villager,Hoang,WIA,0.3666666666666667,Werewolves
014,Seer,Cong,Brier,0.34541666666666665,Werewolves
014,Villager,Hoang,Brier,0.32875000000000004,Werewolves
014,Villager,Nhan,Brier,0.25,Werewolves
014,Guard,Nam,Brier,0.46375000000000005,Werewolves
014,Witch,Jin,Brier,0.34625,Werewolves
014,Villager,Nhan,VotePrecision,0.0,Werewolves
014,Seer,Cong,VotePrecision,0.0,Werewolves
014,Guard,Nam,VotePrecision,0.0,Werewolves
014,Witch,Jin,VotePrecision,0.0,Werewolves
014,Villager,Hoang,VotePrecision,0.0,Werewolves
014,AllVillagers,round_1,WolfVoteShare,0.0,Werewolves
014,AllVillagers,round_2,WolfVoteShare,0.0,Werewolves
014,Werewolf,Riley,WolfVotePrecision,1.0,Werewolves
014,Werewolf,Meg,WolfVotePrecision,1.0,Werewolves
015,Seer,Nhan,WIA,0.19999999999999998,Werewolves
015,Guard,Cong,WIA,0.2333333333333333,Werewolves
015,Witch,Nam,WIA,0.09999999999999998,Werewolves
015,Villager,Jin,WIA,0.09999999999999998,Werewolves
015,Villager,Hoang,WIA,0.09999999999999998,Werewolves
015,Guard,Cong,Brier,0.3454166666666667,Werewolves
015,Villager,Hoang,Brier,0.39375,Werewolves
015,Seer,Nhan,Brier,0.3666666666666667,Werewolves
015,Witch,Nam,Brier,0.3420833333333333,Werewolves
015,Villager,Jin,Brier,0.3433333333333333,Werewolves
015,Seer,Nhan,VotePrecision,0.0,Werewolves
015,Guard,Cong,VotePrecision,0.0,Werewolves
015,Witch,Nam,VotePrecision,0.0,Werewolves
015,Villager,Jin,VotePrecision,0.0,Werewolves
015,Villager,Hoang,VotePrecision,0.0,Werewolves
015,AllVillagers,round_1,WolfVoteShare,0.0,Werewolves
015,AllVillagers,round_2,WolfVoteShare,0.0,Werewolves
015,Werewolf,Riley,WolfVotePrecision,1.0,Werewolves
015,Werewolf,Meg,WolfVotePrecision,1.0,Werewolves
016,Guard,Nhan,WIA,0.3,Werewolves
